日期,代码,名称,形态,当日涨幅,T+1涨幅,T+2涨幅,T+3涨幅,T+4涨幅,T+5涨幅,5日累计涨幅,五日胜率
2026-09-11,603889,新澳股份,均线上方,-0.65%,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-11,600426,华鲁恒升,整理/回撤,-4.43%,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-10,603193,润本股份,整理/回撤,-5.14%,-3.92%,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-10,300445,康斯特,整理/回撤,-1.74%,-0.97%,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-08,603383,顶点软件,整理/回撤,-1.04%,-1.82%,-0.57%,-4.49%,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-08,300445,康斯特,整理/回撤,-1.62%,+1.13%,-1.74%,-0.97%,待满/缺值,待满/缺值,待满/缺值,待满/缺值
2026-09-04,600301,华锡有色,整理/回撤,-0.66%,-0.53%,+3.09%,+2.91%,-0.67%,-3.61%,+1.02%,40%
2026-09-04,300357,我武生物,整理/回撤,-2.62%,-1.32%,+1.25%,-8.80%,-2.90%,-2.32%,-13.57%,20%
2026-09-02,603383,顶点软件,整理/回撤,-1.80%,+0.18%,+2.88%,-1.37%,-1.04%,-1.82%,-1.23%,40%
2026-09-02,600301,华锡有色,整理/回撤,-4.26%,+0.60%,-0.66%,-0.53%,+3.09%,+2.91%,+5.44%,60%
2026-09-02,301345,涛涛车业,整理/回撤,-4.53%,+1.23%,+0.20%,-0.04%,-1.49%,-0.04%,-0.17%,40%
2026-09-02,300797,钢研纳克,整理/回撤,-2.19%,-1.04%,-0.75%,-0.30%,+0.08%,-1.29%,-3.28%,20%
2026-08-31,688633,星球石墨,整理/回撤,-4.63%,-0.55%,-1.82%,-1.30%,+0.35%,-0.70%,-3.96%,20%
2026-08-31,688330,宏力达,放量突破,+12.49%,-2.75%,-1.83%,-2.35%,+0.44%,-0.30%,-6.64%,20%
2026-08-31,603998,XD方盛制,趋势多头,+4.47%,+2.51%,-0.82%,-1.65%,-1.49%,+1.13%,-0.37%,40%
2026-08-31,603697,XD有友食,整理/回撤,-1.72%,+2.19%,-0.11%,+0.43%,+3.21%,+0.62%,+6.46%,80%
2026-08-31,300662,科锐国际,重回20日线,+2.08%,-0.53%,+4.78%,-2.33%,+6.90%,-1.38%,+7.32%,40%
2026-08-31,300622,博士眼镜,重回20日线,+6.07%,+2.31%,+0.00%,-2.64%,+1.16%,-0.77%,+0.00%,40%
2026-08-31,300357,我武生物,整理/回撤,-2.36%,+1.74%,+0.18%,-1.10%,-2.62%,-1.32%,-3.13%,40%
2026-08-31,000893,亚钾国际,均线上方,-1.80%,+1.34%,-1.09%,-1.64%,+2.48%,-5.85%,-4.88%,40%
2026-08-31,000426,兴业银锡,均线上方,-4.16%,-1.43%,-3.21%,+3.29%,-2.11%,-2.63%,-6.07%,20%
2026-08-28,600428,中远海特,整理/回撤,+4.46%,+0.17%,+1.57%,-4.28%,+4.30%,+0.09%,+1.66%,80%
2026-08-27,603889,新澳股份,趋势多头,+0.33%,+0.83%,-1.64%,+2.17%,+1.80%,-0.32%,+2.82%,60%
2026-08-27,600479,千金药业,放量突破,+9.98%,+9.98%,-8.85%,+10.04%,-3.07%,+10.03%,+17.66%,60%
2026-08-26,920599,同力股份,放量突破,+3.59%,-0.55%,-1.16%,+0.50%,+1.23%,+0.28%,+0.28%,60%
2026-08-26,688169,石头科技,趋势多头,-2.54%,-0.74%,-1.53%,-0.87%,+4.79%,-3.39%,-1.92%,20%
2026-08-26,603605,珀莱雅,均线上方,+3.37%,-1.45%,-1.59%,-1.66%,+3.80%,+0.29%,-0.73%,40%
2026-08-26,300797,钢研纳克,均线上方,-1.09%,+1.69%,+0.07%,+0.29%,-1.37%,-2.19%,-1.54%,60%
2026-08-26,300389,艾比森,均线上方,+1.75%,+0.78%,-1.01%,+1.41%,-0.08%,-0.77%,+0.31%,40%
2026-08-25,600426,华鲁恒升,整理/回撤,-0.55%,+2.20%,+2.06%,+4.76%,-1.65%,+1.03%,+8.57%,80%
2026-08-25,001316,润贝航科,均线上方,-0.23%,-0.19%,-2.39%,+3.11%,+2.45%,-2.32%,+0.53%,40%
2026-08-24,601958,金钼股份,重回20日线,+6.15%,-5.24%,+4.44%,+1.48%,-1.03%,-2.29%,-2.88%,40%
2026-08-24,300320,海达股份,均线上方,-0.71%,+0.59%,-0.24%,-0.24%,+0.12%,+0.12%,+0.36%,60%
2026-08-24,001328,登康口腔,整理/回撤,-1.55%,+3.04%,+0.00%,-1.21%,-0.07%,+0.14%,+1.86%,40%
2026-08-21,603697,XD有友食,整理/回撤,-2.18%,-0.89%,+4.04%,-0.97%,+0.00%,+1.20%,+3.34%,40%
2026-08-21,603519,立霸股份,趋势多头,-0.73%,+2.50%,+2.85%,-5.43%,+4.34%,+1.00%,+5.06%,80%
2026-08-20,688615,合合信息,整理/回撤,-13.15%,-2.94%,-4.48%,+3.39%,-0.74%,+2.74%,-2.26%,40%
2026-08-19,605305,XD中际联,整理/回撤,-4.19%,-0.22%,+0.30%,-2.55%,+3.54%,-9.80%,-8.92%,40%
2026-08-19,603383,顶点软件,整理/回撤,-2.34%,-3.73%,+1.64%,-1.99%,+2.07%,+2.55%,+0.38%,60%
2026-08-19,301031,中熔电气,均线上方,-5.64%,+1.40%,+3.42%,-1.61%,-1.70%,+6.98%,+8.51%,60%
2026-08-19,002518,科士达,整理/回撤,-7.00%,-0.15%,+1.92%,+3.21%,+2.21%,+0.77%,+8.17%,80%
2026-08-18,300012,华测检测,趋势多头,+0.00%,-1.19%,+1.47%,-0.85%,+0.20%,-0.07%,-0.46%,40%
2026-08-17,603706,东方环宇,均线上方,+1.84%,+1.66%,-1.42%,+1.65%,-0.96%,-0.36%,+0.52%,40%
2026-08-17,603153,上海建科,均线上方,+0.38%,-0.76%,-1.68%,+2.02%,-0.23%,-0.53%,-1.21%,20%
2026-08-17,603025,大豪科技,均线上方,-1.19%,-3.33%,-4.83%,+0.72%,-0.65%,-2.24%,-10.00%,20%
2026-08-17,600763,通策医疗,均线上方,-1.20%,-2.83%,-2.08%,+3.66%,-3.20%,-2.15%,-6.59%,20%
2026-08-14,600558,大西洋,放量突破,+4.37%,+0.80%,-3.56%,-3.29%,+0.21%,+1.27%,-4.59%,60%
2026-08-13,605305,XD中际联,整理/回撤,-2.25%,-0.50%,+2.04%,-0.10%,-4.19%,-0.22%,-3.04%,20%
2026-08-13,603383,顶点软件,均线上方,-1.07%,-0.34%,+0.81%,+0.74%,-2.34%,-3.73%,-4.84%,40%
2026-08-12,300693,盛弘股份,放量突破,+6.66%,-1.77%,-1.36%,-0.42%,-1.07%,-6.79%,-11.02%,0%
2026-08-10,300622,博士眼镜,均线上方,+1.22%,-1.08%,-0.39%,-3.29%,-2.00%,+1.43%,-5.28%,20%
2026-08-06,603706,东方环宇,均线上方,+0.95%,+0.52%,+0.99%,-0.26%,-0.88%,-1.31%,-0.94%,40%
2026-08-06,000682,东方电子,均线上方,-2.00%,-0.65%,+0.16%,-1.23%,-0.91%,-0.33%,-2.93%,20%
2026-08-05,000603,盛达资源,均线上方,+10.00%,+7.38%,+10.00%,+7.81%,-6.92%,-0.41%,+18.04%,60%
2026-08-03,603889,新澳股份,均线上方,-1.37%,-2.08%,+0.18%,-0.53%,-1.42%,+4.15%,+0.17%,40%
2026-08-03,603706,东方环宇,均线上方,+2.37%,-2.73%,+0.00%,+0.95%,+0.52%,+0.99%,-0.31%,60%
2026-07-31,300622,博士眼镜,放量突破,+7.03%,-0.95%,+1.72%,+0.13%,-2.32%,-0.51%,-1.96%,40%
2026-07-30,603889,新澳股份,均线上方,-1.03%,+0.86%,-1.37%,-2.08%,+0.18%,-0.53%,-2.94%,40%
2026-07-30,300320,海达股份,整理/回撤,-0.74%,+2.37%,+2.20%,-0.84%,+0.72%,-0.24%,+4.24%,60%
2026-07-30,002245,蔚蓝锂芯,整理/回撤,-5.79%,+5.03%,-0.63%,+3.74%,+2.57%,+1.19%,+12.37%,80%
2026-07-29,603383,顶点软件,均线上方,-0.51%,+1.05%,+3.58%,-0.94%,-0.65%,+0.79%,+3.82%,60%
2026-07-28,605305,XD中际联,整理/回撤,-1.83%,+5.05%,-0.94%,-1.30%,-0.26%,+1.89%,+4.39%,40%
2026-07-28,002956,西麦食品,整理/回撤,+3.88%,+10.01%,-3.67%,+3.47%,-3.19%,+0.06%,+6.21%,60%
2026-07-28,002518,科士达,整理/回撤,-4.23%,-1.01%,-5.20%,+2.99%,+1.24%,+3.65%,+1.42%,60%
2026-07-24,605305,XD中际联,整理/回撤,-5.71%,+3.12%,-1.83%,+5.05%,-0.94%,-1.30%,+3.98%,40%
2026-07-24,605056,咸亨国际,整理/回撤,-3.76%,+4.87%,+0.00%,+4.26%,-4.01%,+2.36%,+7.42%,60%
2026-07-24,002518,科士达,整理/回撤,-4.61%,+2.54%,-4.23%,-1.01%,-5.20%,+2.99%,-5.08%,40%
2026-07-22,688059,华锐精密,整理/回撤,-2.07%,-1.69%,-2.65%,+3.65%,-3.63%,-1.41%,-5.74%,20%
2026-07-22,605056,咸亨国际,整理/回撤,-2.99%,+2.84%,-3.76%,+4.87%,+0.00%,+4.26%,+8.21%,60%
2026-07-22,300797,钢研纳克,整理/回撤,-2.40%,+6.37%,-2.05%,+0.87%,+0.95%,+1.63%,+7.83%,80%
2026-07-20,688059,华锐精密,整理/回撤,-20.00%,+19.12%,-2.07%,-1.69%,-2.65%,+3.65%,+15.73%,40%
